  									2025-01-01 ~ 2026-01-31											
	3	01-07 Wed	11:18	GA-JH-AC-MX-01	S	Gray	1	AmazingCre	300											
	4	01-07 Wed	11:18	GA-JH-AC-WH-01	XL	White	1	AmazingCre	500											
	5	01-07 Wed	11:18	LM-TP-ZG-BW-01	XL	Brown	1	zegna	2,000											
	6	01-07 Wed	11:45	GA-OT-EX-SB-01	Free	SkyBlue	1	nobrand	100											
	7	01-07 Wed	11:48	GA-JH-AC-IB-01	Free	Ivory	2	AmazingCre	200											
	8	01-07 Wed	12:13	GA-JH-AC-BK-02	XL	Black	1	AmazingCre	500											
										9	5,900									
	1	​01-08 Thu	11:56	GA-OT-EX-MX-01	Free	Mix	1	nobrand	500											
	2	​01-08 Thu	13:36	LW-TP-AD-MX-01	Free	White	1	Adidas	1,000											
	3	​01-08 Thu	13:36	LW-TP-GC-MX-01	Free	Black	1	Gucci	1,000											
	4	​01-08 Thu	13:36	LM-TP-PR-BK-01	2XL	Black	1	Prada	2,000											
	5	​01-08 Thu	13:36	LM-TP-MC-NV-01	2XL	Navy	1	Moncler	2,000											
	6	​01-08 Thu	13:27	LM-TP-MC-NV-01	XL	Navy	1	Moncler	2,000											
	7	​01-08 Thu	13:27	LM-TP-ZG-BW-01	3XL	Brown	1	zegna	2,000											
	8	​01-08 Thu	13:27	LW-TP-DL-MX-01	Free	Mix	1	DL	1,000											
	9	​01-08 Thu	13:25	LM-TP-HM-WH-01	L	White	1	Hermes	1,500											
	10	​01-08 Thu	13:25	LW-TP-DL-MX-01	Free	Mix	1	DL	1,000											
	11	​01-08 Thu	13:25	LW-TP-CN-MX-01	Free	Mix	1	Chanel	1,000											
	12	​01-08 Thu	13:16	GA-JH-AC-BK-02	2XL	Black	1	AmazingCre	500											
	13	​01-08 Thu	13:16	LM-TP-HM-BK-01	L	Black	1	Hermes	1,500											
	14	​01-08 Thu	13:14	LM-TP-HM-BK-01	XL	Black	1	Hermes	1,500											
								discount 10%	-1800											 
																				
										15	16,700									
	1	01-09 Tue	07:16	GA-OT-EX-MX-01	Free	Mix	1	nobrand	500											
	2	01-09 Tue	08:19	GA-GG-FJ-WH-01	L	Black	1	FootJoy	500											
	3	01-09 Tue	08:37	GA-PC-AC-MX-01	M	Green	1	AmazingCre	3,000											
	4	01-09 Tue	08:37	GA-PC-PX-BK-01	Free	Black	1	pxg	2,300											
	5	01-09 Tue	08:49	GA-OT-EX-MX-01	Free	Mix	1	nobrand	500											
	6	01-09 Tue	13:30	LM-TP-ZG-BW-01	XL	Brown	1	zegna	2,000											
	7	01-09 Tue	13:49	GA-GG-FJ-WH-01	L	White	2	FootJoy	1000											
										7	9,800									
	1	​01-10 Sat	12:44	GA-GC-RT-BK-01	Free	Black	1	golf-club rental	1,000											
										1	1,000									
	1	​01-11 Sun	07:50	GA-JH-AC-WH-01	L	White	1	AmazingCre	500											
	2	​01-11 Sun	10:40	GA-OT-EX-MX-01	Free	Mix	1	nobrand	500											
	3	​01-11 Sun	11:55	GA-JH-AC-WH-01	XL	White	1	AmazingCre	500											
	4	​01-11 Sun	12:24	LM-TP-MC-BK-01	L	Black	1	Moncler	1,500											
	5	​01-11 Sun	12:24	LM-TP-MC-WH-02	L	White	1	Moncler	1,500											
	6	​01-11 Sun	13:30	GW-TP-GF-BK-01	M	Black	1	G/FORE	4,900									
	7	​01-11 Sun	13:30	GW-BT-AC-BG-02	M	Beige	1	AmazingCre	5,900											
	8	​01-11 Sun	13:30	LM-TP-ZG-BW-01	XL	Brown	1	zegna	2,000											
	9	​01-11 Sun	13:30	GM-BT-AC-BG-02	2XL	Beige	1	AmazingCre	4,900											
	10	​01-11 Sun	13:30	LM-TP-PR-NV-01	XL	Navy	1	Prada	2,000											
	11	​01-11 Sun	13:37	GM-BT-AC-BK-01	XL	Black	1	AmazingCre	4,900							
	12	​01-11 Sun	13:38	LM-TP-ZG-WH-01	L	White	1	zegna	2,000								
	13	​01-11 Sun	13:38	LM-TP-PR-WH-01	L	White	1	Prada	2,000											
	14	​01-11 Sun	13:38	LM-TP-MC-WH-01	L	White	1	Moncler	2,000						 					
	15	​01-11 Sun	13:38	GM-BT-AC-BK-01	L	Black	1	AmazingCre	4,900											
	16	​01-11 Sun	14:43	GA-BG-AC-MX-01	M	Black	1	AmazingCre	3,500											
	17	​01-11 Sun	14:01	GA-OT-EX-MX-01	Free	Mix	1	nobrand	500											
									-18200											
	1	​01-11 Sun	21:50	GA-BG-AC-BK-01	Free	Black	1	AmazingCre	4,200											
	2	​01-11 Sun	21:50	LM-TP-KT-MX-01	M	White	1	Kiton	2,000											
	3	​01-11 Sun	21:50	LM-TP-ZG-WH-01	L	White	1	zegna	2,000							
	4	​01-11 Sun	21:50	LM-TP-MC-BK-01	2XL	Black	1	Moncler	1,500										
	5	​01-11 Sun	21:50	LM-TP-PR-WH-01	XL	White	1	Prada	2,000								
	6	​01-11 Sun	21:50	LM-TP-PR-WH-01	M	White	1	Prada	2,000											
	7	​01-11 Sun	21:50	LM-TP-PR-BK-01	XL	Black	1	Prada	2,000											
	8	​01-11 Sun	21:50	GA-BL-PX-MX-01	S	Black	1	pxg	4,000											
	9	​01-11 Sun	21:50	GM-TP-AC-WH-01	L	White	1	AmazingCre	2,500											
	10	​01-11 Sun	21:50	GM-TP-NK-GE-02	XL	Green	1	Nike	4,900											
	11	​01-11 Sun	22:01	GA-JH-AC-RD-01	Free	Red	2	AmazingCre	0											
										29	71,100									
	1	​01-12 Mon	09:16	GA-GG-FJ-WH-01	L	White	1	FootJoy	500											
	2	​01-12 Mon	09:16	GA-OT-EX-MX-02	Free	Mix	1	nobrand	300											
	3	​01-12 Mon	11:38	GA-OT-EX-MX-02	Free	Mix	2	nobrand	600											
	4	​01-12 Mon	11:38	GA-OT-EX-MX-01	Free	Mix	2	nobrand	1,000											
										6	2,400									
	1	​01-13 Tue	09:17	GA-OT-EX-MX-01	Free	Mix	1	nobrand	500											
	2	​01-13 Tue	09:18	GA-JH-AC-RD-01	Free	Red	1	AmazingCre	300											
	3	​01-13 Tue	09:22	GA-JH-EX-MX-01	Free	Green	1	nobrand	700											
	4	​01-13 Tue	11:39	GM-BT-AC-BG-02	XL	Beige	1	AmazingCre	4,900											
	5	​01-13 Tue	11:53	GA-OT-EX-MX-01	Free	Mix	1	nobrand	500											
	6	​01-13 Tue	13:42	GA-OT-EX-MX-02	Free	Mix	2	nobrand	600											
										7	7,500									
	1	​01-14 Wed	08:12	GA-JH-AC-WH-01	XL	White	1	AmazingCre	500											
	2	​01-14 Wed	08:12	GA-OT-EX-MX-02	Free	Mix	1	nobrand	300											
	3	​01-14 Wed	08:24	GA-OT-EX-MX-02	Free	Mix	1	nobrand	300											
	4	​01-14 Wed	10:22	LM-TP-MC-NV-01	XL	Navy	1	Moncler	2,000											
	5	​01-14 Wed	10:22	LM-TP-MC-WH-01	XL	White	1	Moncler	2,000											
	6	​01-14 Wed	10:23	GA-HT-TT-MX-01	M	White	1	Titleist	1,000											
	7	​01-14 Wed	11:17	GA-OT-EX-MX-01	Free	Mix	1	nobrand	500											
